縣市名稱,縣市代碼,鄉鎮區名稱,鄉鎮區代碼
新北市,65000,板橋區,65000010
新北市,65000,三重區,65000020
新北市,65000,永和區,65000040
新北市,65000,中和區,65000030
新北市,65000,新莊區,65000050
新北市,65000,新店區,65000060
新北市,65000,土城區,65000130
新北市,65000,蘆洲區,65000140
新北市,65000,汐止區,65000110
新北市,65000,樹林區,65000070
新北市,65000,鶯歌區,65000080
新北市,65000,三峽區,65000090
新北市,65000,淡水區,65000100
新北市,65000,瑞芳區,65000120
新北市,65000,五股區,65000150
新北市,65000,泰山區,65000160
新北市,65000,林口區,65000170
新北市,65000,深坑區,65000180
新北市,65000,石碇區,65000190
新北市,65000,坪林區,65000200
新北市,65000,三芝區,65000210
新北市,65000,石門區,65000220
新北市,65000,八里區,65000230
新北市,65000,平溪區,65000240
新北市,65000,雙溪區,65000250
新北市,65000,貢寮區,65000260
新北市,65000,金山區,65000270
新北市,65000,萬里區,65000280
新北市,65000,烏來區,65000290
臺北市,63000,松山區,63000010
臺北市,63000,信義區,63000020
臺北市,63000,大安區,63000030
臺北市,63000,中山區,63000040
臺北市,63000,中正區,63000050
臺北市,63000,大同區,63000060
臺北市,63000,萬華區,63000070
臺北市,63000,文山區,63000080
臺北市,63000,南港區,63000090
臺北市,63000,內湖區,63000100
臺北市,63000,士林區,63000110
臺北市,63000,北投區,63000120
桃園市,68000,桃園區,68000010
桃園市,68000,中壢區,68000020
桃園市,68000,平鎮區,68000100
桃園市,68000,八德區,68000080
桃園市,68000,大溪區,68000030
桃園市,68000,楊梅區,68000040
桃園市,68000,蘆竹區,68000050
桃園市,68000,大園區,68000060
桃園市,68000,龜山區,68000070
桃園市,68000,龍潭區,68000090
桃園市,68000,新屋區,68000110
桃園市,68000,觀音區,68000120
桃園市,68000,復興區,68000130
臺中市,66000,豐原區,66000090
臺中市,66000,大里區,66000280
臺中市,66000,太平區,66000270
臺中市,66000,東勢區,66000100
臺中市,66000,大甲區,66000110
臺中市,66000,清水區,66000120
臺中市,66000,沙鹿區,66000130
臺中市,66000,梧棲區,66000140
臺中市,66000,后里區,66000150
臺中市,66000,神岡區,66000160
臺中市,66000,潭子區,66000170
臺中市,66000,大雅區,66000180
臺中市,66000,新社區,66000190
臺中市,66000,石岡區,66000200
臺中市,66000,外埔區,66000210
臺中市,66000,大安區,66000220
臺中市,66000,烏日區,66000230
臺中市,66000,大肚區,66000240
臺中市,66000,龍井區,66000250
臺中市,66000,霧峰區,66000260
臺中市,66000,和平區,66000290
臺中市,66000,中區,66000010
臺中市,66000,東區,66000020
臺中市,66000,西區,66000040
臺中市,66000,南區,66000030
臺中市,66000,北區,66000050
臺中市,66000,西屯區,66000060
臺中市,66000,南屯區,66000070
臺中市,66000,北屯區,66000080
臺南市,67000,新營區,67000010
臺南市,67000,永康區,67000310
臺南市,67000,鹽水區,67000020
臺南市,67000,白河區,67000030
臺南市,67000,麻豆區,67000070
臺南市,67000,佳里區,67000120
臺南市,67000,新化區,67000180
臺南市,67000,善化區,67000190
臺南市,67000,學甲區,67000130
臺南市,67000,柳營區,67000040
臺南市,67000,後壁區,67000050
臺南市,67000,東山區,67000060
臺南市,67000,下營區,67000080
臺南市,67000,六甲區,67000090
臺南市,67000,官田區,67000100
臺南市,67000,大內區,67000110
臺南市,67000,西港區,67000140
臺南市,67000,七股區,67000150
臺南市,67000,將軍區,67000160
臺南市,67000,北門區,67000170
臺南市,67000,新市區,67000200
臺南市,67000,安定區,67000210
臺南市,67000,山上區,67000220
臺南市,67000,玉井區,67000230
臺南市,67000,楠西區,67000240
臺南市,67000,南化區,67000250
臺南市,67000,左鎮區,67000260
臺南市,67000,仁德區,67000270
臺南市,67000,歸仁區,67000280
臺南市,67000,關廟區,67000290
臺南市,67000,龍崎區,67000300
臺南市,67000,東區,67000320
臺南市,67000,南區,67000330
臺南市,67000,北區,67000340
臺南市,67000,中西區,67000370
臺南市,67000,安南區,67000350
臺南市,67000,安平區,67000360
高雄市,64000,鳳山區,64000120
高雄市,64000,岡山區,64000190
高雄市,64000,旗山區,64000300
高雄市,64000,美濃區,64000310
高雄市,64000,林園區,64000130
高雄市,64000,大寮區,64000140
高雄市,64000,大樹區,64000150
高雄市,64000,仁武區,64000170
高雄市,64000,大社區,64000160
高雄市,64000,鳥松區,64000180
高雄市,64000,橋頭區,64000200
高雄市,64000,燕巢區,64000210
高雄市,64000,田寮區,64000220
高雄市,64000,阿蓮區,64000230
高雄市,64000,路竹區,64000240
高雄市,64000,湖內區,64000250
高雄市,64000,茄萣區,64000260
高雄市,64000,永安區,64000270
高雄市,64000,彌陀區,64000280
高雄市,64000,梓官區,64000290
高雄市,64000,六龜區,64000320
高雄市,64000,甲仙區,64000330
高雄市,64000,杉林區,64000340
高雄市,64000,內門區,64000350
高雄市,64000,茂林區,64000360
高雄市,64000,桃源區,64000370
高雄市,64000,那瑪夏區,64000380
高雄市,64000,鹽埕區,64000010
高雄市,64000,鼓山區,64000020
高雄市,64000,左營區,64000030
高雄市,64000,楠梓區,64000040
高雄市,64000,三民區,64000050
高雄市,64000,新興區,64000060
高雄市,64000,前金區,64000070
高雄市,64000,苓雅區,64000080
高雄市,64000,前鎮區,64000090
高雄市,64000,旗津區,64000100
高雄市,64000,小港區,64000110
宜蘭縣,10002,宜蘭市,10002010
宜蘭縣,10002,羅東鎮,10002020
宜蘭縣,10002,蘇澳鎮,10002030
宜蘭縣,10002,頭城鎮,10002040
宜蘭縣,10002,礁溪鄉,10002050
宜蘭縣,10002,壯圍鄉,10002060
宜蘭縣,10002,員山鄉,10002070
